Model, Form, Style, Pattern, Controls, Covered controls, Percent covered controls, Pattern Version, Unspecified count, Custom count
Foundation,SMASalesPriceSubscription,SimpleList,SimpleList,18,18,100.00%,1.1,0,0
Foundation,ProdRouteJobLookup,Lookup,LookupPreview,20,20,100.00%,1,0,0
Electronic Reporting Print Management Integration,ERFormatDestinationTable,SimpleListDetails,SimpleListDetails-Grid,25,25,100.00%,1.4,0,0
Foundation,HcmBudgetPurposeType,SimpleListDetails,SimpleListDetails,43,43,100.00%,1.3,0,0
Foundation,HcmCompVarPlansPart,FormPart,FormPartSectionList,11,11,100.00%,1.1,0,0
Foundation,KMQuestionnaireStatisticsGraph,Auto,Custom,2,0,0.00%,,0,1
Foundation,CustCollectionLetterJournal,DetailsFormMaster,DetailsMaster,94,94,100.00%,1.4,0,0
Foundation,VendRequestWorkerRequestListPage,ListPage,ListPage,21,21,100.00%,UX7 1.0,0,0
Foundation,SMAServiceLevelAgreement,SimpleListDetails,SimpleListDetails-Grid,23,23,100.00%,1.4,0,0
Foundation,KMKnowledgeCollectorUserResultsTree,SimpleListDetails,SimpleListDetails-Tree,22,22,100.00%,1.3,0,0
Foundation,CustBillOfExchangeJour,Auto,TaskParentChild,50,50,100.00%,1.2,0,0
Foundation,ReqTransPOUrgentFormPart,FormPart,FormPartSectionList,28,28,100.00%,1.1,0,0
Foundation,ProdRouteTrans,DetailsFormMaster,DetailsMaster,148,148,100.00%,1.4,0,0
Foundation,HcmBudgetPurposeTypeDetailDateDialog,Dialog,Dialog,14,14,100.00%,1.2,0,0
Foundation,HcmCourseAttendeeListPage,ListPage,ListPage,19,19,100.00%,UX7 1.0,0,0
FiscalBooks,FiscalDocumentTotals_BR,Dialog,Dialog,53,5,9.43%,1.2,0,1
Foundation,KMQuestionnaireStatisticsLine,SimpleList,SimpleList,11,11,100.00%,1.1,0,0
Foundation,HcmCertificateType,SimpleList,SimpleList,8,8,100.00%,1.1,0,0
Foundation,HcmCourseDescriptionInfoPart,FormPart,FormPartFactboxCard,2,2,100.00%,UX7 1.0,0,0
Foundation,CustCollectionLetterNote,DetailsFormMaster,DetailsMaster,108,108,100.00%,1.4,0,0
Foundation,SMAServiceLevelAgreementLog,Auto,Task,20,20,100.00%,1.2,0,0
Foundation,CustBillOfExchangeProtestSettledSelect,SimpleList,SimpleList,22,22,100.00%,1.1,0,0
Foundation,KMQuestion,SimpleListDetails,SimpleListDetails,24,24,100.00%,1.3,0,0
Foundation,RequisitionLineReferences,SimpleList,SimpleList,8,8,100.00%,1.1,0,0
Foundation,ProdSchedule,Dialog,DialogTabs,93,93,100.00%,1.3,0,1
Foundation,ProdRouteJobOverview,SimpleListDetails,SimpleListDetails,53,53,100.00%,1.3,0,0
Foundation,HcmCompControlPointChart,FormPart,Custom,3,0,0.00%,,0,1
Foundation,KMQuestionResultGroup,SimpleListDetails,SimpleListDetails,22,22,100.00%,1.3,0,0
Foundation,HcmCourseInstructorsInfoPart,FormPart,FormPartFactboxGrid,3,3,100.00%,1.1,0,0
Foundation,KMQuestionMedia,Auto,Custom,13,6,46.15%,,0,1
Foundation,ProdSetupBOMCalc,Dialog,Dialog,12,12,100.00%,1.2,0,0
Foundation,ProdRouteJobSched,Auto,Task,62,62,100.00%,1.2,0,0
Foundation,VendReviewCriterion,SimpleListDetails,SimpleListDetails,19,19,100.00%,1.3,0,0
Foundation,KMQuestionResultGroupText,SimpleListDetails,SimpleListDetails-Grid,19,19,100.00%,1.4,0,0
Foundation,SMAServiceLevelAgreementLogTable,SimpleList,SimpleList,17,17,100.00%,1.1,0,0
Foundation,HcmCourseLogisticsInfoPart,FormPart,FormPartFactboxCard,7,7,100.00%,UX7 1.0,0,0
ElectronicReporting,ERFormatMappingTable,SimpleListDetails,SimpleListDetails-Tree,31,31,100.00%,1.3,0,0
Foundation,HcmCompensationActivePlansPart,FormPart,FormPartSectionList,16,16,100.00%,1.1,0,0
Foundation,SMAServiceObjectGroups,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,KMQuestionRow,SimpleList,SimpleList,8,8,100.00%,1.1,0,0
Foundation,RequisitionPurposeRule,Dialog,Dialog,10,10,100.00%,1.2,0,0
Foundation,ProdRouteOprNumLookUp,Lookup,LookupPreview,20,20,100.00%,1,0,0
Foundation,VendReviewCriterionGroup,SimpleListDetails,SimpleListDetails,16,16,100.00%,1.3,0,0
ElectronicReporting,ERAxUpdatesSelectTable,SimpleList,SimpleList,9,9,100.00%,1.1,0,0
Foundation,HcmCourseTargetGroupInfoPart,FormPart,FormPartFactboxCard,2,2,100.00%,UX7 1.0,0,0
Foundation,ProdSetupCostEstimation,Dialog,Dialog,11,11,100.00%,1.2,0,0
Foundation,CustBillOfExchangeStatBase,SimpleList,SimpleList,16,16,100.00%,1.1,0,0
Foundation,CustCollections,DetailsFormMaster,DetailsMaster,148,148,100.00%,1.4,0,0
ElectronicReporting,ERFormatMappingVersionTable,SimpleList,SimpleList,14,14,100.00%,1.1,0,0
Foundation,KMQuestionType,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,SMAServiceObjectLookup,Lookup,LookupGridOnly,5,5,100.00%,1.1,0,0
Foundation,VendRFQJournal,Auto,TaskParentChild,66,66,100.00%,1.2,0,0
Foundation,ProdSetupHistoricalCost,Dialog,Dialog,16,16,100.00%,1.2,0,0
Foundation,CustCollectionsActivitiesClosedPreview,FormPart,FormPartFactboxCard,8,8,100.00%,UX7 1.0,0,0
Foundation,CustBillOfExchangeStatistics,SimpleList,SimpleList,11,11,100.00%,1.1,0,0
Foundation,KMReferenceTypeLookup,Lookup,LookupGridOnly,3,3,100.00%,1.1,0,0
Foundation,ProdRouteOprOverview,DetailsFormMaster,DetailsMaster,119,118,99.16%,1.4,0,1
Foundation,HcmCompensationLevel,SimpleList,SimpleList,11,11,100.00%,1.1,0,0
ElectronicReporting,ERCompareForm,Auto,SimpleDetails-StandardTabsContainer,28,18,64.29%,1.5,0,2
Foundation,RequisitionReplenishCatAccessPolicyRule,Dialog,Dialog,24,10,41.67%,1.2,0,1
Foundation,KMQuestionnaireForm,Auto,Custom,31,0,0.00%,,0,1
Foundation,HcmCourseType,SimpleListDetails,SimpleListDetails,58,58,100.00%,1.3,0,0
ElectronicReporting,ERFormatTypeLabelLookup,Lookup,LookupGridOnly,3,3,100.00%,1.1,0,0
Foundation,VendSearchAddCategory,Dialog,Dialog,18,6,33.33%,1.2,0,1
Foundation,KMWorkspace,Workspace,Workspace,42,42,100.00%,2,0,0
Foundation,HcmCourseTypeGroup,SimpleList,SimpleList,9,9,100.00%,1.1,0,0
Foundation,SMAServiceObjectRelation,Auto,Task,54,54,100.00%,1.2,0,0
Foundation,HcmCompensationWorkspace,Workspace,Custom,52,47,90.38%,,0,1
Foundation,KMQuestionnaireList,SimpleListDetails,SimpleListDetails,21,16,76.19%,1.3,0,1
Foundation,RequisitionReplenishControlRule,Dialog,DialogFastTabs,18,11,61.11%,1,0,1
Foundation,ProdSetupRelease,Dialog,Dialog,21,9,42.86%,1.2,0,1
Foundation,KMQuestionnairePeople,SimpleList,SimpleList,16,16,100.00%,1.1,0,0
Foundation,HcmCompFixedPlansPart,FormPart,FormPartSectionList,14,14,100.00%,1.1,0,0
Foundation,CustCollectionsCaseLookup,Lookup,LookupGridOnly,7,7,100.00%,1.1,0,0
Foundation,HcmCourseWorkspace,Workspace,Workspace,20,20,100.00%,2,0,0
Foundation,SMAServiceObjectRelationLookup,Lookup,LookupGridOnly,8,8,100.00%,1.1,0,0
Foundation,ProdTableLookUp,Lookup,LookupGridOnly,22,22,100.00%,1.1,0,0
ElectronicReporting,ERDataContainerDescriptorReferenceSwitchDialog,Dialog,Dialog,15,6,40.00%,1.2,0,1
Foundation,LandTypeTable_W,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,ResActivityResourceBooking,Auto,SimpleDetails-FastTabsContainer,58,18,31.03%,1.4,0,1
Foundation,VendSearchAddReviewCriterion,Dialog,AdvancedSelection,17,17,100.00%,1.1,0,0
Foundation,HcmEducationInstitutionPreview,FormPart,FormPartFactboxCard,6,6,100.00%,UX7 1.0,0,0
Foundation,HcmDepartmentTotal,Dialog,Dialog,13,13,100.00%,1.2,0,0
Foundation,KMQuestionnaireStatistics,Auto,Task,52,26,50.00%,1.2,0,2
Foundation,ProdSetupReportFinished,Dialog,Dialog,25,25,100.00%,1.2,0,0
Foundation,SMAServiceObjectRelationSelect,Dialog,Dialog,13,13,100.00%,1.2,0,1
Foundation,HcmEducationLevel,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,ProdTableOverview,Auto,Task,142,142,100.00%,1.2,0,0
Foundation,CustCollectionsContactPart,FormPart,FormPartFactboxCard,6,6,100.00%,UX7 1.0,0,0
Foundation,CustCollectionsActivitiesListPage,ListPage,ListPage,62,62,100.00%,UX7 1.0,0,0
Foundation,LanguageTxt,SimpleListDetails,SimpleListDetails-Grid,13,13,100.00%,1.4,0,0
Foundation,ProdTableRefList,SimpleList,SimpleList,11,11,100.00%,1.1,0,0
Foundation,ResAddResourceCategoryForm,Dialog,Dialog,8,8,100.00%,1.2,0,0
Foundation,SMAServiceObjectTable,SimpleListDetails,SimpleListDetails-Grid,37,37,100.00%,1.4,0,0
Foundation,ProdSetupStartUp,Dialog,Dialog,32,9,28.13%,1.2,0,1
Foundation,CustCollectionsActivitiesPurpsePreview,FormPart,FormPartFactboxCard,4,4,100.00%,UX7 1.0,0,0
ElectronicReporting,ERMappedFormatDesigner,Auto,Custom,149,0,0.00%,,0,1
Foundation,LeanCarrierLookup,Lookup,LookupGridOnly,8,8,100.00%,1.1,0,0
ElectronicReporting,ERDataModelContentsItemCreationDialog,Dialog,Custom,25,0,0.00%,,0,1
Foundation,HcmEEOEstablishmentSetup,SimpleListDetails,SimpleListDetails,19,19,100.00%,1.3,0,0
Foundation,VendSearchAddReviewCriterionGroup,Dialog,AdvancedSelection,17,17,100.00%,1.1,0,0
Foundation,SMAServiceOrderLookup,Lookup,LookupGridOnly,7,7,100.00%,1.1,0,0
Foundation,CustCollectionsCreditLimitPart,FormPart,FormPartFactboxCard,6,6,100.00%,UX7 1.0,0,0
Foundation,ResAddResourceForm,Dialog,Dialog,13,13,100.00%,1.2,0,0
Foundation,ProductionOrderScheduleDetails,FormPart,FormPartFactboxCard,7,7,100.00%,UX7 1.0,0,0
Foundation,CustCollectionsAddressPart,FormPart,FormPartFactboxCard,2,2,100.00%,UX7 1.0,0,0
Foundation,HcmDependentCoverageDateManager,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,LeanCosting,SimpleListDetails,SimpleListDetails,33,33,100.00%,1.3,0,0
Foundation,ProdSetupStatusDecrease,Dialog,Dialog,16,16,100.00%,1.2,0,0
Foundation,LeanCostingTimeBucket,DropDialog,DropDialog,6,6,100.00%,1.2,0,0
Foundation,LeanItemNoActiveBOMVersionFormPart,FormPart,FormPartSectionList,16,16,100.00%,1.1,0,0
Foundation,ProdUnitTable,SimpleListDetails,SimpleListDetails,21,21,100.00%,1.3,0,0
Foundation,ResAllocationView,Auto,SimpleDetails-StandardTabsContainer,29,14,48.28%,1.5,0,2
Foundation,HcmEmploymentDateManager,Auto,SimpleDetails-StandardTabsContainer,52,52,100.00%,1.5,0,0
ElectronicReporting,ERDataModelDesigner,DetailsFormMaster,Custom,115,64,55.65%,,0,1
Foundation,VendSearchCriteriaFactBox,FormPart,FormPartFactboxCard,7,7,100.00%,UX7 1.0,0,0
Foundation,SMAServiceOrderReason,Auto,Task,22,22,100.00%,1.2,0,0
ElectronicReporting,ERModelGroupByFunctionEditor,Auto,Custom,37,0,0.00%,,0,1
Foundation,LeanDocumentKanbanRuleLookup,Lookup,LookupGridOnly,7,7,100.00%,1.1,0,0
Foundation,CustCollectionsCustInvoiceJourPreview,FormPart,FormPartFactboxGrid,8,8,100.00%,1.1,0,0
Foundation,CustCollectionsAgent,SimpleListDetails,SimpleListDetails,24,24,100.00%,1.3,0,0
Foundation,HcmDiscussion,SimpleListDetails,SimpleListDetails-Grid,42,27,64.29%,1.4,0,1
Foundation,LeanItemNoActiveCostFormPart,FormPart,FormPartSectionList,17,17,100.00%,1.1,0,0
Foundation,ProdTable,DetailsFormMaster,DetailsMaster,362,362,100.00%,1.4,0,0
Foundation,CustCollectionsCustTransAmountPreview,FormPart,FormPartFactboxCard,15,15,100.00%,UX7 1.0,0,0
Foundation,ResAvailabilityFilterSetting,Dialog,Dialog,14,14,100.00%,1.2,0,0
Foundation,HcmEmploymentDialog,DropDialog,DropDialog,12,12,100.00%,1.2,0,0
Foundation,HcmDiscussionType,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
ElectronicReporting,ERDataModelVersionTable,SimpleList,SimpleList,14,14,100.00%,1.1,0,0
Foundation,CustCollectionsAgingPart,FormPart,Custom,25,0,0.00%,,0,1
Foundation,ProdUpdateJour,Auto,SimpleDetails-StandardTabsContainer,209,12,5.74%,1.5,0,7
Foundation,LeanItemSupplyDemandFactBox,FormPart,FormPartFactboxCard,6,6,100.00%,UX7 1.0,0,0
Foundation,LeanDocumentPlanActivityLookup,Lookup,LookupGridOnly,6,6,100.00%,1.1,0,0
Foundation,LeanKanbanBOMVersionAssign,DropDialog,DropDialog,6,6,100.00%,1.2,0,0
Foundation,HcmEducationDiscipline,SimpleListDetails,SimpleListDetails,20,20,100.00%,1.3,0,0
Foundation,ResAvailabilityView,Auto,SimpleDetails-FastTabsContainer,62,29,46.77%,1.4,0,1
ElectronicReporting,ERDataSourceAddDropDialog,DropDialog,DropDialogReadOnly,3,2,66.67%,1.2,0,1
Foundation,ProdViewProgress,Dialog,DialogFastTabs,46,34,73.91%,1,0,1
Foundation,ProdTableCreate,Dialog,Dialog,64,64,100.00%,1.2,0,0
Foundation,SMAServiceOrderTable,DetailsFormTransaction,DetailsTransaction,303,303,100.00%,1.4,0,0
Foundation,VendSearchCriterion,Dialog,DialogFastTabs,46,46,100.00%,1,0,0
Foundation,LeanDocumentServiceCreation,Dialog,DialogTabs,21,21,100.00%,1.3,0,0
Foundation,CustCollectionsCustTransBalancePreview,FormPart,FormPartFactboxCard,12,12,100.00%,UX7 1.0,0,0
Foundation,HcmEducationDisciplineCategory,SimpleListDetails,SimpleListDetails,20,20,100.00%,1.3,0,0
Foundation,CustCollectionsAgingPeriodDefinition,DropDialog,DropDialog,5,5,100.00%,1.2,0,0
Foundation,ProjABSListPage,ListPage,ListPage,14,14,100.00%,UX7 1.0,0,0
Foundation,LeanPeggingTree,SimpleListDetails,SimpleListDetails-Tree,46,46,100.00%,1.3,0,0
Foundation,HcmEducationInstitution,SimpleList,SimpleList,10,10,100.00%,1.1,0,0
Foundation,SMAServiceTask,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,CustCollectionsCustTransBillIdPreview,FormPart,FormPartFactboxCard,6,6,100.00%,UX7 1.0,0,0
Foundation,ResAvailabilityViewSetting,Dialog,Dialog,15,15,100.00%,1.2,0,0
Foundation,VendSearchResults,Auto,SimpleDetails-FastTabsContainer,54,54,100.00%,1.4,0,0
Foundation,ProjABSTemplateCreate,Dialog,Dialog,9,9,100.00%,1.2,0,0
ElectronicReporting,ERExpressionDesignerFormula,Auto,Custom,47,0,0.00%,,0,1
Foundation,SMAServiceTaskLookup,Lookup,LookupGridOnly,4,4,100.00%,1.1,0,0
Foundation,HcmEmploymentHistory,SimpleListDetails,SimpleListDetails-Grid,35,35,100.00%,1.4,0,0
Foundation,LedgerAccrualTable,SimpleListDetails,SimpleListDetails,29,29,100.00%,1.3,0,0
Foundation,ProdTableJour,Auto,Task,42,42,100.00%,1.2,0,0
ElectronicReporting,ERModelMappingDesigner,Auto,Custom,92,0,0.00%,,0,1
Foundation,HcmFMLAHoursTracking,Auto,SimpleDetails-FastTabsContainer,28,5,17.86%,1.4,0,2
Foundation,CustCollectionsCaseAssign,DropDialog,DropDialog,8,8,100.00%,1.2,0,0
Foundation,LeanProductionFlow,DetailsFormTransaction,DetailsTransaction,102,102,100.00%,1.4,0,0
Foundation,CustCollectionsCustTransInvoicePreview,FormPart,FormPartFactboxCard,11,11,100.00%,UX7 1.0,0,0
Foundation,ProdTableListPage,ListPage,ListPage,138,138,100.00%,UX7 1.0,0,0
Foundation,ResCharacteristicForm,Dialog,Dialog,21,18,85.71%,1.2,0,1
Foundation,LedgerAllocateKey,SimpleList,SimpleList,13,13,100.00%,1.1,0,0
Foundation,ProjActivitySelection,Dialog,Dialog,13,13,100.00%,1.2,0,0
Foundation,SMAServiceTaskRelations,Auto,Task,24,19,79.17%,1.2,0,1
Foundation,CustCollectionsCaseClose,DropDialog,DropDialog,6,6,100.00%,1.2,0,0
Foundation,ProdTableListPagePreviewPane,FormPart,FormPartFactboxCard,10,10,100.00%,UX7 1.0,0,0
Foundation,HcmFMLARecalculateHours,DropDialog,DropDialog,9,9,100.00%,1.2,0,0
Foundation,VendServiceTaxPOTReverseReclaim_IN,SimpleListDetails,Custom,35,0,0.00%,,0,1
Foundation,HcmEmploymentLeave,SimpleListDetails,SimpleListDetails,20,20,100.00%,1.3,0,0
Foundation,CustCollectionsCustTransStatusPreview,FormPart,FormPartFactboxCard,5,5,100.00%,UX7 1.0,0,0
Foundation,ProjActualBillableRateFormPart,FormPart,FormPartFactboxCard,6,6,100.00%,UX7 1.0,0,0
Foundation,LeanProductionFlowActivityLookup,Lookup,LookupGridOnly,9,9,100.00%,1.1,0,0
Foundation,SMAStageSelect,Dialog,Dialog,10,10,100.00%,1.2,0,1
Foundation,ResDefaultResourceCategorySetup,SimpleList,SimpleList,8,8,100.00%,1.1,0,0
Foundation,LedgerAllocateKeyDefaultDataWizard,Wizard,Wizard,37,30,81.08%,1.2,0,1
ElectronicReporting,ERModelMappingTable,SimpleList,SimpleList,15,15,100.00%,1.1,0,0
Foundation,HcmEmploymentTerm,SimpleList,SimpleList,12,12,100.00%,1.1,0,0
ElectronicReporting,ERExtendedDataTypeLookup,Lookup,LookupGridOnly,6,6,100.00%,1.1,0,0
Foundation,CustCollectionsCustTransVoucherPreview,FormPart,FormPartFactboxCard,13,13,100.00%,UX7 1.0,0,0
Foundation,ProjActualConsumptionPart,FormPart,FormPartFactboxCard,7,7,100.00%,UX7 1.0,0,0
Foundation,ResImportOpResourceForm,Dialog,Dialog,6,6,100.00%,1.2,0,0
Foundation,VendSettlement,Auto,Task,42,42,100.00%,1.2,0,0
Foundation,CustCollectionsCaseListPage,ListPage,ListPage,55,55,100.00%,UX7 1.0,0,0
Foundation,LeanProductionFlowCostingUnusedQty,SimpleList,SimpleList,26,26,100.00%,1.1,0,0
Foundation,LedgerAllocateTrans,Auto,Task,13,13,100.00%,1.2,0,0
Foundation,SMAStageTable,SimpleList,Custom,18,0,0.00%,,0,1
Foundation,ProjAdjustmentSplit,Dialog,DialogFastTabs,33,33,100.00%,1,0,0
Foundation,CustCollectionsEmailStatement,DropDialog,DropDialog,8,8,100.00%,1.2,0,0
Foundation,HcmEmploymentTermDialog,DropDialog,DropDialog,9,9,100.00%,1.2,0,0
Foundation,ResourceCategory,SimpleList,SimpleList,29,29,100.00%,1.1,0,0
Foundation,HcmGoal,SimpleListDetails,SimpleListDetails-Grid,66,55,83.33%,1.4,0,2
Foundation,LeanProductionFlowCycleTimeHistory,SimpleList,SimpleList,15,15,100.00%,1.1,0,0
Foundation,ProjActualForecastPivotChart,FormPart,Custom,20,0,0.00%,,0,1
ElectronicReporting,ERModelMappingVersionTable,SimpleList,SimpleList,14,14,100.00%,1.1,0,0
Foundation,ProjAllocateKey,SimpleList,SimpleList,9,9,100.00%,1.1,0,0
Foundation,SMAStageTableLookup,Lookup,LookupGridOnly,5,5,100.00%,1.1,0,0
Foundation,HcmGoalHeading,SimpleList,SimpleList,8,8,100.00%,1.1,0,0
Foundation,CustCollectionsNewActivityAction,DropDialog,DropDialog,8,8,100.00%,1.2,0,0
Foundation,VendSettlementTax1099,Auto,SimpleDetails-StandardTabsContainer,48,48,100.00%,1.5,0,0
Foundation,CustCollectionsPool,SimpleListDetails,SimpleListDetails,24,24,100.00%,1.3,0,0
Foundation,HcmEmploymentVerification,Dialog,Dialog,23,23,100.00%,1.2,0,0
ElectronicReporting,ERFormatMappingRunJobTable,SimpleList,SimpleList,15,15,100.00%,1.1,0,0
Foundation,LeanProductionFlowModel,SimpleListDetails,SimpleListDetails,16,16,100.00%,1.3,0,0
Foundation,LedgerAllocationRequest,Dialog,DialogFastTabs,21,21,100.00%,1,0,0
Foundation,ProjAdjTreeCreateVisualization,Dialog,Dialog,5,5,100.00%,1.2,0,0
Foundation,ResourceLookup,Lookup,LookupGridOnly,12,12,100.00%,1.1,0,0
Foundation,LedgerBadDebtAccounts_JP,Auto,SimpleDetails-ToolbarFields,5,5,100.00%,1.3,0,0
Foundation,ProjAllocateTrans,SimpleList,SimpleList,10,10,100.00%,1.1,0,0
Foundation,CustCollectionsNewActivityAppointment,DropDialog,DropDialog,9,9,100.00%,1.2,0,0
Foundation,HcmGoalType,SimpleListDetails,SimpleListDetails,22,22,100.00%,1.3,0,0
Foundation,ResourceSetup,Auto,SimpleDetails-FastTabsContainer,28,27,96.43%,1.4,0,1
Foundation,VendShowspecifikation,Auto,SimpleDetails-StandardTabsContainer,44,44,100.00%,1.5,0,0
Foundation,SMASubscriptionAccrueDialog,Dialog,DialogTabs,20,6,30.00%,1.3,0,1
Foundation,CustCollectionsPoolsListPage,ListPage,ListPage,56,56,100.00%,UX7 1.0,0,0
Foundation,HcmEnrollmentDateManager,Auto,SimpleDetails-StandardTabsContainer,92,78,84.78%,1.5,0,1
ElectronicReporting,ERParameters,TableOfContents,TableOfContents,7,7,100.00%,1.1,0,0
Foundation,CustCollectionsNewActivityEvent,DropDialog,DropDialog,8,8,100.00%,1.2,0,0
Foundation,LedgerBalanceControl,Dialog,DialogReadOnly,13,13,100.00%,1.2,0,0
Foundation,LeanProductionFlowVisualization,Auto,Custom,41,0,0.00%,,0,1
Foundation,HcmHTMLCommentDialog,Dialog,Dialog,7,6,85.71%,1.2,0,1
Foundation,HcmEPOpenJobsListPagePublic,ListPage,ListPage,13,13,100.00%,UX7 1.0,0,0
Foundation,ProjAdjustment,Auto,TaskParentChild,166,166,100.00%,1.2,0,0
Foundation,ProjAllocationLookup,Lookup,LookupGridOnly,4,4,100.00%,1.1,0,0
Foundation,CustCollectionsPoolsLookup,Lookup,LookupGridOnly,4,4,100.00%,1.1,0,0
Foundation,CustCollectionsNewActivityTask,DropDialog,DropDialog,9,9,100.00%,1.2,0,0
ElectronicReporting,ERFormatMappingRunLogTable,SimpleListDetails,SimpleListDetails-Grid,25,25,100.00%,1.4,0,0
Foundation,LedgerBalanceControlAccounts,SimpleList,SimpleList,8,8,100.00%,1.1,0,0
Foundation,HcmEthnicOrigin,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,ResPlannedResourcePreview,DropDialog,DropDialogReadOnly,14,2,14.29%,1.2,0,1
Foundation,LeanRuleReassignmentWizard,Wizard,Wizard,47,47,100.00%,1.2,0,0
Foundation,SMASubscriptionCreateDialog,Dialog,DialogTabs,27,6,22.22%,1.3,0,1
ElectronicReporting,ERSolutionCreateDropDialog,DropDialog,DropDialog,11,11,100.00%,1.2,0,0
Foundation,ProjAdjustmentDropDialog,DropDialog,DropDialog,5,5,100.00%,1.2,0,0
Foundation,HcmExam,SimpleListDetails,SimpleListDetails,18,12,66.67%,1.3,0,1
Foundation,CustCollectionsOpenCustomerStatistics,DropDialog,DropDialog,6,6,100.00%,1.2,0,0
Foundation,CustCollectionsSelectCompanies,DropDialog,DropDialog,12,12,100.00%,1.2,0,0
Foundation,ProjBegBalJournalTrans,Auto,Task,86,86,100.00%,1.2,0,0
Foundation,Hcmi9Document,SimpleListDetails,SimpleListDetails,65,65,100.00%,1.3,0,1
Foundation,LeanScheduleGroup,SimpleListDetails,SimpleListDetails,42,42,100.00%,1.3,0,0
Foundation,SMASubscriptionGroup,SimpleListDetails,SimpleListDetails,30,30,100.00%,1.3,0,0
Foundation,VendSpecTransOverview,Auto,Custom,266,44,16.54%,,0,1
Foundation,ResProjAddResource,Dialog,Custom,13,0,0.00%,,0,1
Foundation,Hcmi9DocumentType,SimpleListDetails,SimpleListDetails,22,22,100.00%,1.3,0,0
Foundation,HcmFMLACaseAssociationLookup,Lookup,LookupGridOnly,7,7,100.00%,1.1,0,0
Foundation,LeanWorkCellLookup,Lookup,LookupGridOnly,4,4,100.00%,1.1,0,0
ElectronicReporting,ERSolutionImport,SimpleListDetails,SimpleListDetails-Tree,28,28,100.00%,1.3,0,0
ElectronicReporting,ERTextFormatTable,SimpleListDetails,SimpleListDetails-Tree,30,30,100.00%,1.3,0,0
Foundation,LedgerBalanceSheetDefinition,Auto,Custom,34,0,0.00%,,0,1
Foundation,HcmIdentificationType,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,ProjBudget,DetailsFormMaster,Custom,91,0,0.00%,,0,1
Foundation,LedgerAccountCov,SimpleList,SimpleList,13,13,100.00%,1.1,0,0
Foundation,ProjCashFlow,Auto,SimpleDetails-FastTabsContainer,104,104,100.00%,1.4,0,0
Foundation,CustDirective_PSN,TaskSingle,Custom,36,18,50.00%,,0,1
Foundation,CustCollectionsSetTransactionStatus,DropDialog,DropDialog,9,9,100.00%,1.2,0,0
ElectronicReporting,ERSolutionRepositoryCreateDropDialog,DropDialog,DropDialog,5,5,100.00%,1.2,0,0
ElectronicReporting,ERTextFormatVersionTable,SimpleList,SimpleList,14,14,100.00%,1.1,0,0
Foundation,ResProjAddResourceBooking,Auto,SimpleDetails-FastTabsContainer,56,18,32.14%,1.4,0,1
Foundation,SMASubscriptionindexDialog,Dialog,DialogTabs,18,6,33.33%,1.3,0,1
Foundation,VendStateTaxID,Auto,SimpleDetails-StandardTabsContainer,15,15,100.00%,1.5,0,0
Foundation,HcmInjuriesByDepartmentChart,FormPart,HubPartChart,2,2,100.00%,1,0,0
Foundation,HcmFMLAEligibility,Dialog,Dialog,15,7,46.67%,1.2,0,1
Foundation,ProjCashFlowFormPart,FormPart,FormPartFactboxCard,4,4,100.00%,UX7 1.0,0,0
Foundation,CustCollectionsWorkspace,Workspace,Workspace,10,10,100.00%,2,0,0
ElectronicReporting,ERTranslatedTextLookup,Lookup,LookupGridOnly,5,5,100.00%,1.1,0,0
Foundation,LedgerBondManual_RU,SimpleListDetails,SimpleListDetails,84,45,53.57%,1.3,2,0
ElectronicReporting,ERSolutionRepositoryExportDropDialog,DropDialog,DropDialog,5,5,100.00%,1.2,0,0
Foundation,SMASubscriptionParameters,TableOfContents,TableOfContents,13,13,100.00%,1.1,0,0
Foundation,CustEgiroFtxAnalyse,SimpleListDetails,SimpleListDetails,30,30,100.00%,1.3,0,0
Foundation,LedgerAccountRenameTable_RU,Auto,Task,21,21,100.00%,1.2,0,0
Foundation,ProjBudgetAllocation,Dialog,Dialog,33,33,100.00%,1.2,0,0
Foundation,VendStatistics,Auto,SimpleDetails-FastTabsContainer,28,28,100.00%,1.4,0,0
Foundation,ResProjBookingDetailsView,Auto,SimpleDetails-FastTabsContainer,41,21,51.22%,1.4,0,1
Foundation,CustEgiroParameters,TableOfContents,TableOfContents,17,17,100.00%,1.1,0,0
Foundation,LedgerCheckList_CN,Dialog,DialogTabs,8,8,100.00%,1.3,0,0
ElectronicReporting,ERTranslateTextDialog,Dialog,Custom,20,13,65.00%,,0,1
ElectronicReporting,ERSolutionRepositoryTable,SimpleList,SimpleList,14,14,100.00%,1.1,0,0
Foundation,LedgerConsolidateHistLedger,SimpleList,SimpleList,19,19,100.00%,1.1,0,0
Foundation,SMASubscriptionTable,DetailsFormMaster,DetailsMaster,58,58,100.00%,1.4,0,0
